"timestamp","lifetime","adc"
20948.0,2062.500,330
20968.0,2693.750,431
21053.0,606.250,97
21074.0,400.000,64
21074.0,4200.000,672
21099.0,756.250,121
21110.0,19625.000,3140
21113.0,2925.000,468
21131.0,2343.750,375
21132.0,575.000,92
21141.0,406.250,65
21144.0,3731.250,597
21169.0,3306.250,529
21170.0,4400.000,704
21188.0,2881.250,461
21193.0,1893.750,303
21196.0,193.750,31
21257.0,1362.500,218
21286.0,2268.750,363
21298.0,4625.000,740
21311.0,1087.500,174
21318.0,918.750,147
21334.0,3181.250,509
21353.0,993.750,159
21355.0,4187.500,670
21357.0,1937.500,310
21410.0,2975.000,476
21418.0,1368.750,219
21430.0,287.500,46
21473.0,531.250,85
21488.0,2843.750,455
21494.0,537.500,86
21511.0,23537.500,3766
21532.0,237.500,38
21572.0,312.500,50
21689.0,2937.500,470
21748.0,4925.000,788
21772.0,3237.500,518
21801.0,4456.250,713
21825.0,19106.250,3057
21889.0,1006.250,161
21918.0,22543.750,3607
21934.0,987.500,158
22015.0,712.500,114
22027.0,1675.000,268
22086.0,1393.750,223
22145.0,15212.500,2434
22150.0,1812.500,290
22195.0,5093.750,815
22222.0,750.000,120
22286.0,5487.500,878
22338.0,1187.500,190
22344.0,17925.000,2868
22360.0,3862.500,618
22392.0,1275.000,204
22395.0,1281.250,205
22452.0,3931.250,629
22508.0,5925.000,948
22524.0,1418.750,227
22561.0,593.750,95
22610.0,3656.250,585
22622.0,306.250,49
22626.0,1643.750,263
22635.0,4393.750,703
22706.0,7218.750,1155
22738.0,13687.500,2190
22758.0,11887.500,1902
22764.0,618.750,99
22781.0,14537.500,2326
22816.0,581.250,93
22818.0,1218.750,195
22826.0,2431.250,389
22858.0,15743.750,2519
22869.0,231.250,37
22902.0,7000.000,1120
22903.0,15293.750,2447
23029.0,650.000,104
23166.0,2450.000,392
23189.0,1043.750,167
23196.0,412.500,66
23265.0,4618.750,739
23287.0,2537.500,406
23292.0,2762.500,442
23304.0,468.750,75
23317.0,118.750,19
23345.0,681.250,109
23402.0,1162.500,186
23411.0,4568.750,731
23426.0,6387.500,1022
23493.0,1937.500,310
23514.0,2856.250,457
23577.0,4631.250,741
23588.0,23300.000,3728
23596.0,6325.000,1012
23632.0,8487.500,1358
23658.0,2000.000,320
23664.0,2556.250,409
23706.0,87.500,14
23719.0,20406.250,3265
23758.0,1250.000,200
23866.0,856.250,137
23984.0,1506.250,241
24031.0,1300.000,208
24098.0,1393.750,223
24122.0,400.000,64
24124.0,3018.750,483
24152.0,7168.750,1147
24180.0,268.750,43
24213.0,1950.000,312
24229.0,681.250,109
24276.0,5193.750,831
24309.0,3968.750,635
24335.0,650.000,104
24417.0,1250.000,200
24440.0,3843.750,615
24529.0,4031.250,645
24541.0,537.500,86
24644.0,1062.500,170
24660.0,1237.500,198
24668.0,13262.500,2122
24694.0,11781.250,1885
24700.0,20950.000,3352
24722.0,6931.250,1109
24725.0,3981.250,637
24726.0,2812.500,450
24737.0,5243.750,839
24743.0,18268.750,2923
24778.0,93.750,15
24815.0,987.500,158
24903.0,2343.750,375
24907.0,14668.750,2347
24919.0,25475.000,4076
24929.0,6081.250,973
24980.0,1643.750,263
24985.0,3350.000,536
25003.0,3575.000,572
25017.0,4731.250,757
25089.0,3250.000,520
25100.0,1781.250,285
25109.0,1256.250,201
25145.0,3306.250,529
25149.0,1375.000,220
25154.0,15356.250,2457
25190.0,256.250,41
25247.0,2162.500,346
25296.0,500.000,80
25323.0,16450.000,2632
25324.0,543.750,87
25339.0,3987.500,638
25354.0,1406.250,225
25356.0,1793.750,287
25388.0,2118.750,339
25440.0,3362.500,538
25457.0,206.250,33
25463.0,1375.000,220
25492.0,1943.750,311
25509.0,343.750,55
25539.0,712.500,114
25546.0,1187.500,190
25559.0,768.750,123
25570.0,356.250,57
25630.0,343.750,55
25661.0,1981.250,317
25694.0,437.500,70
25696.0,21625.000,3460
25698.0,13131.250,2101
25703.0,1450.000,232
25782.0,9118.750,1459
25786.0,1837.500,294
25797.0,2600.000,416
25817.0,618.750,99
25835.0,2468.750,395
25840.0,625.000,100
25841.0,2731.250,437
25843.0,18406.250,2945
25887.0,1706.250,273
25897.0,2218.750,355
25917.0,381.250,61
25948.0,21137.500,3382
25949.0,1687.500,270
25964.0,1381.250,221
25993.0,3731.250,597
26003.0,7456.250,1193
26092.0,762.500,122
26102.0,275.000,44
26108.0,662.500,106
26108.0,781.250,125
26137.0,2543.750,407
26154.0,4031.250,645
26277.0,4125.000,660
26324.0,2681.250,429
26336.0,1243.750,199
26354.0,1237.500,198
26403.0,5775.000,924
26408.0,1393.750,223
26426.0,375.000,60
26434.0,1587.500,254
26440.0,868.750,139
26490.0,3468.750,555
26507.0,13993.750,2239
26574.0,1656.250,265
26623.0,1412.500,226
26641.0,3687.500,590
26682.0,1537.500,246
26723.0,106.250,17
26751.0,2493.750,399
26806.0,187.500,30
26815.0,3868.750,619
26822.0,331.250,53
26889.0,1137.500,182
26897.0,625.000,100
26916.0,21775.000,3484
26971.0,987.500,158
26972.0,2750.000,440
27005.0,1343.750,215
27005.0,406.250,65
